CaseID,weight,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q12,Q13,Q14,Q15,Q16,Q17,Q18,Q18_Refused,Q19,Q20,Q21,Q22,Q24,Q26,Q27,Q28,Q28_Refused,Q29_a,Q29_b,Q29_c,Q29_d,Q29_e,Q29_f,Q29_g,Q30,Q30_Refused,Q31,Q32_a,Q32_b,Q32_c,Q32_d,Q32_e,Q32_f,Q32_g,Q32_h,Q32_i,Q32_j,Q32_k,Q33,Q33_Refused,Q34,Q34_Refused,Q35_a,Q35_b,Q35_c,Q35_d,Q35_e,Q35_f,Q35_g,Q35_h,Q35_i,Q35_j,Q36,Q36_Refused,Q37_a,Q37_b,Q37_c,Q37_d,Q37_e,Q37_f,Q37_g,PARTY,PARTY_Text,PARTYLN,IDEO,TP,PPAGE,ppagect4,PPEDUC,PPEDUCAT,PPETHM,PPGENDER,PPHHHEAD,PPHHSIZE,PPHOUSE,PPINCIMP,PPMARIT,PPMSACAT,PPRENT,PPT01,PPT25,PPT612,PPT1317,PPT18OV,PPWORK
3,1.7783,1,1,1,1,2,1,2,1,2,1,2,1,2,2,1,3,"I haven't witnessed a misuse of surveillance to wrongfully persecute someone, and I feel a certain level of anonymity because there are so many citizens and so much communication going on at any given time.", ,2,2,3,3,3,3,3, , ,3,4,5,2,3,3,4,"I am reluctant to share my location, but this is also largely due to social media. I am also more careful about how I word things when I communicate about personal issues.", ,2,3,3,3,3,3,1,3,3,1,2,1,N/A, ,I didn't want the way I communicated to be misunderstood as something more serious., ,2,2,3,1,4,3,1,3,3,3,There are many people aside from those in government positions who I would not want privy to my personal information., ,1,2,2,2,2,2,2,3, ,2,4,2,26,1,12,4,1,2,1,1,1,8,5,1,2,0,0,0,0,1,1
4,.4789,1,1,1,1,1,1,2,1,1,2,2,2,2,2,2,3, ,99,2,1,4,4,4,4,4, , ,4,4,4,4,4,4,4, , ,1,1,1,1,1,1,3,1,1,3,3,3, ,99,Negative people, ,3,3,3,3,3,3,1,3,3,3, ,99,2,2,1,1,1,1,1,2, , ,3,3,35,2,10,3,2,2,1,5,3,12,5,1,2,0,0,2,2,1,7
8,.4238,5,6,1,1,2,6, ,1,2,1,1,2,2,1,1,1,"4th Amendment protects against unwarranted, & unreasonable search & seizure of a person’s property, even electronic.  I refuse to wave these rights under some notion of ""general security"".  The 4th originally enforced the idea that each man’s home is his castle, secure from unreasonable search & seizure by the government.  It is the basis of the law regarding search warrants, stop-and-frisk, wiretaps, and other forms of surveillance, as well as general respect for the ""rule of law"" on which our democratic system depends.  Unlike the Foreign Intelligence Surveillance Act (FISA) that targets foreign nationals and governments, FBI general counsel Andrew Weissmann, publicly expressed that the bureau wants to wiretap all forms of internet communication in real time. Applications such as Skype, Gmail, and Dropbox were specifically named, spying on American citizens under the Communications Assistance for Law Enforcement Act (CALEA), passed under Clinton.  It wasn't OK under Clinton or Bush; It isn't OK under Obama.", ,2,2,1,1,5,5,1,"Concern goes to the heart of a free democratic society.  Monitoring of citizens is Orwellian.  Taking this survey and being honest with my concerns, for instance, may be construed later as ""paranoia"", therefore a precursor to being further scrutinized or monitored.  Not conducive to an honest, open, and free society, but I take that risk now, as a stand for my 4th amendment rights.  The ""chilling effect"" on digital communications has already taken place among those who are aware.", ,1,2,2,1,1,1,1,"Concern goes to the heart of a free democratic society.  Monitoring of citizens is Orwellian.  The ""chilling effect"" on digital communications has already taken place among those who are aware.", ,3,3,2,2,1,1,1,2,4,2,1,2,Become more educated as to existing laws and began following proposed laws and extended federal legislation (USAPatriotAct), ,no., ,1,2,2,1,2,2,1,2,2,2,no., ,1,2,2,2,2,2,2,4,libertarian,1,1,1,51,3,12,4,1,1,1,5,1,16,1,1,1,0,0,0,1,4,1
9,.6233,1,4,1,1,4,1,2,2,1,2,1,1,2,2,1,2, ,99,2,2,5,3,3,3,3, , ,5,3,3,3,3,3,3, ,99,2,4,4,4,3,3,3,99,3,3,3,3,I have nothing to hide so I have not made any changes, , , ,3,3,3,3,3,3,5,4,3,3, , ,1,1,1,1,1,2,1,2, , ,3,3,45,3,12,4,2,2,1,4,1,11,1,1,1,0,0,0,1,3,1
10,.7522,1,2,1,1,4,2,3,1,2,1,1,1,1,1,1,2,"I answered as accepting of government monitoring, but that should be restricted only to issues of national security and law enforcement.", ,2,1,3,3,3,4,3, , ,4,4,4,4,4,4,4, , ,2,3,3,3,3,3,3,3,3,3,3,3,"Since I am not involved in any illegal activities, there is nothing in my communications that would compromise me. I am more concerned with how some laws are applied improperly rather than worry about intercepted communications.", , , ,2,3,3,1,2,2,3,4,4,3,"I feel that if there is something I wish to be private, it is my responsibility to protect it. This has more to do with criminal activity rather than government monitoring.", ,1,1,1,1,1,2,2,3, ,1,3,2,69,4,13,4,1,1,1,2,1,8,1,1,1,0,0,0,0,2,5
13,.4708,1,2,1,3,6,3,3,3,1,1,1,1,1,1,2,4,I don't see how it can harm the average user., ,1,1,5,4,4,4,4, , ,5,4,4,4,4,4,4, , ,1,4,4,4,3,3,3,3,3,3,3,3, ,99, , ,3,3,3,3,4,3,5,4,4,3, , ,1,1,1,1,1,1,2,2, , ,3,2,71,4,12,4,1,1,1,2,1,16,1,1,1,0,0,0,0,2,1
14,.1741,3,4,2,4,1,2,4,4,1,1,2,2,2,2,2,1,Politely decline to comment, ,2,2,1,1,1,1,1,Politely decline to comment, ,1,1,5,1,1,1,1,Politely decline to comment, ,3,1,4,1,4,4,1,1,1,1,1,1,Politely decline to comment, ,Politely decline to comment, ,1,5,5,5,5,5,5,5,5,5,Politely decline to comment, ,2,2,2,2,2,2,2,4,None,99,99,99,37,2,6,1,5,2,1,2,3,9,3,1,2,0,0,0,0,2,1
15,.3267,1,3,2,3,6,4,3,2,1,2,1,2,2,2,2,1,I like my privacy and I don't like the government snooping, ,1,1,5,1,1,1,1, ,99,5,2,2,2,2,1,3, ,99,3,4,4,4,4,3,1,1,3,3,1,1, ,99, ,99,2,4,4,1,2,1,5,4,4,1, ,99,1,2,1,1,1,1,1,3, ,2,3,2,59,3,9,2,1,1,1,3,1,13,1,1,1,0,0,0,0,3,6
21,.9186,2,6,2,2,2,6, ,2,2,2,1,1,2,1,1,2,I do not think that the government has any need to know what I do with electronic communications., ,2,1,1,1,1,1,1,they have more important things to do than to be looking into what I do on my computer., ,1,1,1,1,4,4,1,I do not feel safe with those people monitoring my programs., ,4,2,1,1,3,1,1,1,1,3,1,2,I have not., ,I do not like for everyone to know my business., ,2,4,5,1,4,4,2,4,4,2,to protect my privatesy., ,1,2,1,1,1,1,1,3, ,1,2,3,73,4,9,2,1,1,0,2,1,13,1,0,1,0,0,0,0,2,5
25,1.3343,1,2,1,2,2,1,1,1,1,2,1,2,2,2,2,2,"The definition of ""terrorist"" can be so political in nature.", ,2,2,3,3,2,3,2, ,99,3,3,3,3,3,3,3, ,99,2,3,3,3,3,3,3,3,3,3,3,3, ,99, , ,2,2,2,2,2,3,1,3,3,3, ,99,2,2,2,2,2,2,2,3, ,2,3,2,33,2,9,2,1,1,1,4,1,12,1,1,1,0,0,2,0,2,1
